,nct_id,documents
0,NCT00200161,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""November 8, 2011"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/61/NCT00200161/Prot_SAP_000.pdf""}"
1,NCT00345865,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 16, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/65/NCT00345865/Prot_SAP_000.pdf""}"
2,NCT00352794,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 14, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/94/NCT00352794/Prot_SAP_000.pdf""}"
3,NCT00363649,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""April 25, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/49/NCT00363649/Prot_SAP_000.pdf""}"
4,NCT00450814,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 20, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/14/NCT00450814/Prot_SAP_000.pdf""}"
5,NCT00495170,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""December 6, 2010"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/70/NCT00495170/Prot_SAP_000.pdf""}"
6,NCT00554788,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 14, 2014"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/88/NCT00554788/Prot_SAP_000.pdf""}"
7,NCT00590954,"{""document_type"": ""Study Protocol and Statistical Analysis Plan"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""October 25, 2011"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/54/NCT00590954/Prot_SAP_000.pdf""}"
8,NCT00686374,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""May 26, 2015"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/74/NCT00686374/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""April 11, 2017"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/74/NCT00686374/SAP_001.pdf""}]"
9,NCT00777920,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""June 12, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/20/NCT00777920/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""July 13, 2020"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/20/NCT00777920/SAP_001.pdf""}]"
10,NCT00790933,"[{""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""January 7, 2013"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/33/NCT00790933/SAP_000.pdf""}, {""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""August 22, 2016"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/33/NCT00790933/Prot_001.pdf""}]"
11,NCT00950248,"[{""document_type"": ""Study Protocol"", ""document_has_protocol"": ""Yes"", ""document_has_icf"": ""No"", ""document_has_sap"": ""No"", ""document_date"": ""June 14, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/48/NCT00950248/Prot_000.pdf""}, {""document_type"": ""Statistical Analysis Plan"", ""document_has_protocol"": ""No"", ""document_has_icf"": ""No"", ""document_has_sap"": ""Yes"", ""document_date"": ""February 14, 2018"", ""document_url"": ""https://ClinicalTrials.gov/ProvidedDocs/48/NCT00950248/SAP_001.pdf""}]"
